ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Annotation
Tubatulabel-36_bone-1,1129,Tubatulabel,36_bone,o-n,o-n,,,Miller1984,36_bone-1,false,,,
Tubatulabel-37_greasefat-1,1161,Tubatulabel,37_greasefat,wip-t,wip-t,,,Miller1984,37_greasefat-2,false,,,
Tubatulabel-38_egg-1,1193,Tubatulabel,38_egg,pomp-t,pomp-t,,,Miller1984,38_egg-2,false,,,
Tubatulabel-39_horn-1,1225,Tubatulabel,39_horn,aawa-t,aawa-t,,,Miller1984,39_horn-1,false,,,
Tubatulabel-40_tail-1,1257,Tubatulabel,40_tail,wišii,wišii,,,Miller1984,40_tail-1,false,,,
Tubatulabel-41_feather-1,1289,Tubatulabel,41_feather,aŋaa,aŋaa,,,Miller1984,41_feather-4,false,,,
Tubatulabel-42_hair-1,1321,Tubatulabel,42_hair,comoo-l,comoo-l,,,Miller1984,42_hair-1,false,,,
Tubatulabel-43_head-1,1353,Tubatulabel,43_head,kupu,kupu,,,Hale1964,43_head-11,false,,,"JHH:  ko7ohn is form I have (from Voegelin, Kroeber)"
Tubatulabel-44_ear-1,1385,Tubatulabel,44_ear,naŋha-l,naŋha-l,,,Miller1984,44_ear-1,false,,,
Tubatulabel-45_eye-1,1417,Tubatulabel,45_eye,punʒi-l,punʒi-l,,,Miller1984,45_eye-1,false,,,
Tubatulabel-46_nose-1,1449,Tubatulabel,46_nose,mupi-t,mupi-t,,,Miller1984,46_nose-1,false,,,
Tubatulabel-47_mouth-1,1481,Tubatulabel,47_mouth,toʔogo,toʔogo,,,Hale1964,47_mouth-2,false,,,
Tubatulabel-48_tooth-1,1512,Tubatulabel,48_tooth,taman-t,taman-t,,,Miller1984,48_tooth-1,false,,,
Tubatulabel-49_tongue-1,1544,Tubatulabel,49_tongue,lalan-t,lalan-t,,,Miller1984,49_tongue-2,false,,,
Tubatulabel-50_clawnail-1,1576,Tubatulabel,50_clawnail,šulun-t,šulun-t,,,Miller1984,50_clawnail-5,false,,,
Tubatulabel-51_foot-1,1608,Tubatulabel,51_foot,ɨŋgɨ-l,ɨŋgɨ-l,,,Miller1984,51_foot-12,false,,,
Tubatulabel-52_knee-1,1640,Tubatulabel,52_knee,toŋoo-l,toŋoo-l,,,Miller1984,52_knee-1,false,,,
Tubatulabel-53_hand-1,1672,Tubatulabel,53_hand,maa-l,maa-l,,,Miller1984,53_hand-1,false,,,
Tubatulabel-54_arm-1,1704,Tubatulabel,54_arm,matson,matson,,,Miller1984,54_arm-2,false,,,or set 5?
Tubatulabel-54_arm-2,5153,Tubatulabel,54_arm,madzan,madzan,,,Miller1984,54_arm-2,false,,,or set 5?
Tubatulabel-55_rope-1,3451,Tubatulabel,55_rope,yuuwi-l,yuuwi-l,,,Miller1984,55_rope-13,false,,,"JHH: This is a ""hair"" cognate but it means ""string"" in Tub."
Tubatulabel-56_belly-1,1755,Tubatulabel,56_belly,šapuš-t,šapuš-t,,,Miller1984,56_belly-3,true,,,Numic loan?
Tubatulabel-57_navelbellybutton-1,1787,Tubatulabel,57_navelbellybutton,šiiduluš-t,šiiduluš-t,,,Miller1984,57_navelbellybutton-4,false,,,
Tubatulabel-58_neck-1,1819,Tubatulabel,58_neck,kulaa-n,kulaa-n,,,Miller1984,58_neck-1,false,,,
Tubatulabel-59_breast-1,1851,Tubatulabel,59_breast,pii-l,pii-l,,,Miller1984,59_breast-1,false,,,
Tubatulabel-60_heart-1,1883,Tubatulabel,60_heart,šuuna-l,šuuna-l,,,Miller1984,60_heart-2,false,,,
Tubatulabel-61_liver-1,1915,Tubatulabel,61_liver,nɨɨma-l,nɨɨma-l,,,Miller1984,61_liver-1,false,,,
Tubatulabel-62_drink-1,1947,Tubatulabel,62_drink,iiʔɨɨ,iiʔɨɨ,,,Miller1984,62_drink-2,false,,,
Tubatulabel-62_drink-2,5178,Tubatulabel,62_drink,iiʔ-ɨt,iiʔ-ɨt,,,Miller1984,62_drink-2,false,,,
Tubatulabel-63_eat-1,1979,Tubatulabel,63_eat,tɨk,tɨk,,,Miller1984,,true,,,Numic loan
Tubatulabel-63_eat-2,5190,Tubatulabel,63_eat,ɨtɨk,ɨtɨk,,,Miller1984,,true,,,Numic loan
Tubatulabel-64_bite-1,2011,Tubatulabel,64_bite,kɨiʔ-ɨt,kɨiʔ-ɨt,,,Miller1984,,true,,,might be Western Numic loan
Tubatulabel-64_bite-2,5196,Tubatulabel,64_bite,ɨɨgɨ,ɨɨgɨ,,,Miller1984,,true,,,might be Western Numic loan
Tubatulabel-65_vomit-1,2043,Tubatulabel,65_vomit,wayuub-,wayuub-,,,Miller1984,65_vomit-7,false,,,
Tubatulabel-65_vomit-2,5204,Tubatulabel,65_vomit,awayuup,awayuup,,,Miller1983,65_vomit-7,false,,,
Tubatulabel-66_see-1,2075,Tubatulabel,66_see,taawɨg-ɨt,taawɨg-ɨt,,,Miller1984,66_see-2,false,,,JHH: Very wrong vowel.
Tubatulabel-67_hear-1,2107,Tubatulabel,67_hear,haʔ-,haʔ-,,,Miller1984,67_hear-3,false,,,"JHH: In Tub, *k > /h/ before a"
Tubatulabel-67_hear-2,5220,Tubatulabel,67_hear,aahaʔ,aahaʔ,,,Miller1983,67_hear-3,false,,,"JHH: In Tub, *k > /h/ before a"
Tubatulabel-68_know-1,2139,Tubatulabel,68_know,maag-,maag-,,,Miller1984,68_know-3,false,,,
Tubatulabel-68_know-2,5225,Tubatulabel,68_know,amak,amak,,,Miller1984,68_know-3,false,,,
Tubatulabel-69_sleep-1,2171,Tubatulabel,69_sleep,culuum,culuum,,,Miller1984,69_sleep-4,false,,,
Tubatulabel-69_sleep-2,5236,Tubatulabel,69_sleep,uculuum,uculuum,,,Miller1984,69_sleep-4,false,,,
Tubatulabel-69_sleep-3,5237,Tubatulabel,69_sleep,tahkin,tahkin,,,Miller1984,,false,,,
Tubatulabel-69_sleep-4,5238,Tubatulabel,69_sleep,atahkin,atahkin,,,Miller1984,,false,,,
